timestamp,cpu_percent,ram_percent,ram_used_gib,ram_total_gib,disk_percent,disk_used_gib,disk_total_gib,uptime_seconds,uptime_hms,cpu_alert,ram_alert
2025-12-27T18:59:36.829610,31.0,50.5,7.76,15.37,89.8,415.81,463.25,17552.606634140015,04:52:32,False,False
2025-12-27T18:59:39.131688,13.7,50.6,7.78,15.37,89.8,415.81,463.25,17554.908712148666,04:52:34,False,False
2025-12-27T18:59:41.433505,10.9,50.6,7.78,15.37,89.8,415.81,463.25,17557.210529327393,04:52:37,False,False
2025-12-27T18:59:43.735594,10.1,50.8,7.81,15.37,89.8,415.81,463.25,17559.5126183033,04:52:39,False,False
2025-12-27T18:59:46.037422,15.6,50.8,7.81,15.37,89.8,415.81,463.25,17561.81444644928,04:52:41,False,False
2025-12-27T18:59:48.339462,11.8,51.1,7.85,15.37,89.8,415.81,463.25,17564.11648607254,04:52:44,False,False
2025-12-27T18:59:50.642113,11.2,50.9,7.82,15.37,89.8,415.81,463.25,17566.419137239456,04:52:46,False,False
2025-12-27T18:59:52.944345,10.1,50.9,7.82,15.37,89.8,415.81,463.25,17568.721368789673,04:52:48,False,False
2025-12-27T18:59:55.246292,9.6,50.9,7.83,15.37,89.8,415.81,463.25,17571.023316144943,04:52:51,False,False
2025-12-27T18:59:57.547866,12.0,50.5,7.76,15.37,89.8,415.81,463.25,17573.324890375137,04:52:53,False,False
2025-12-27T18:59:59.849764,7.6,50.4,7.75,15.37,89.8,415.81,463.25,17575.626788139343,04:52:55,False,False
2025-12-27T19:00:02.153639,9.6,50.4,7.75,15.37,89.8,415.81,463.25,17577.930663585663,04:52:57,False,False
2025-12-27T19:00:04.455590,11.3,50.4,7.75,15.37,89.8,415.81,463.25,17580.232614040375,04:53:00,False,False
2025-12-27T19:00:06.757040,13.4,50.4,7.75,15.37,89.8,415.81,463.25,17582.534064292908,04:53:02,False,False
2025-12-27T19:00:09.060417,12.2,50.4,7.75,15.37,89.8,415.81,463.25,17584.83744072914,04:53:04,False,False
2025-12-27T19:00:11.362288,8.8,50.4,7.75,15.37,89.8,415.81,463.25,17587.139312267303,04:53:07,False,False
2025-12-27T19:00:13.664267,9.5,50.4,7.75,15.37,89.8,415.81,463.25,17589.441290855408,04:53:09,False,False
2025-12-27T19:00:15.965708,8.7,50.4,7.75,15.37,89.8,415.81,463.25,17591.742731809616,04:53:11,False,False
2025-12-27T19:00:18.275665,23.1,50.4,7.75,15.37,89.8,415.81,463.25,17594.05268907547,04:53:14,False,False
2025-12-27T19:00:20.578049,12.0,50.4,7.74,15.37,89.8,415.81,463.25,17596.355073451996,04:53:16,False,False
2025-12-27T19:00:22.883957,19.5,50.4,7.74,15.37,89.8,415.81,463.25,17598.660980939865,04:53:18,False,False
2025-12-27T19:00:25.185810,8.8,50.4,7.75,15.37,89.8,415.81,463.25,17600.962833881378,04:53:20,False,False
2025-12-27T19:00:27.487096,10.8,50.4,7.75,15.37,89.8,415.81,463.25,17603.26412010193,04:53:23,False,False
2025-12-27T19:00:29.788972,10.5,50.5,7.76,15.37,89.8,415.81,463.25,17605.565995931625,04:53:25,False,False
2025-12-27T19:00:32.092460,9.6,50.9,7.82,15.37,89.8,415.81,463.25,17607.869484186172,04:53:27,False,False
2025-12-27T19:00:34.394274,11.5,51.0,7.83,15.37,89.8,415.81,463.25,17610.17129778862,04:53:30,False,False
2025-12-27T19:00:36.695823,10.0,50.9,7.82,15.37,89.8,415.81,463.25,17612.472846746445,04:53:32,False,False
2025-12-27T19:00:39.012762,8.5,50.9,7.82,15.37,89.8,415.81,463.25,17614.789786100388,04:53:34,False,False
2025-12-27T19:00:41.314411,10.8,50.8,7.81,15.37,89.8,415.81,463.25,17617.091434955597,04:53:37,False,False
2025-12-27T19:00:43.616226,8.7,50.9,7.82,15.37,89.8,415.81,463.25,17619.393249750137,04:53:39,False,False
2025-12-27T19:00:45.918589,9.1,50.8,7.81,15.37,89.8,415.81,463.25,17621.69561314583,04:53:41,False,False
2025-12-27T19:00:48.223967,10.2,50.8,7.81,15.37,89.8,415.81,463.25,17624.000991344452,04:53:44,False,False
2025-12-27T19:00:50.530590,8.3,50.7,7.79,15.37,89.8,415.81,463.25,17626.30761384964,04:53:46,False,False
2025-12-27T19:00:52.835866,12.1,50.8,7.81,15.37,89.8,415.81,463.25,17628.61289024353,04:53:48,False,False
2025-12-27T19:00:55.137696,13.5,50.9,7.82,15.37,89.8,415.81,463.25,17630.914719581604,04:53:50,False,False
2025-12-27T19:00:57.439243,9.7,50.9,7.83,15.37,89.8,415.81,463.25,17633.216267108917,04:53:53,False,False
2025-12-27T19:00:59.740742,17.3,50.9,7.82,15.37,89.8,415.81,463.25,17635.51776599884,04:53:55,False,False
2025-12-27T19:01:02.042821,10.0,50.8,7.82,15.37,89.8,415.81,463.25,17637.819844961166,04:53:57,False,False
2025-12-27T19:01:04.344587,10.6,50.9,7.82,15.37,89.8,415.81,463.25,17640.121610879898,04:54:00,False,False
2025-12-27T19:01:06.646178,24.9,51.5,7.91,15.37,89.8,415.81,463.25,17642.423201799393,04:54:02,False,False
2025-12-27T19:01:08.948138,13.2,51.5,7.91,15.37,89.8,415.81,463.25,17644.725161790848,04:54:04,False,False
2025-12-27T19:01:11.280297,27.6,51.7,7.94,15.37,89.8,415.81,463.25,17647.057321310043,04:54:07,False,False
2025-12-27T19:01:13.583312,9.1,51.6,7.94,15.37,89.8,415.81,463.25,17649.36033630371,04:54:09,False,False
2025-12-27T19:01:15.885220,9.6,51.8,7.96,15.37,89.8,415.81,463.25,17651.662244319916,04:54:11,False,False
2025-12-27T19:01:18.186861,8.3,51.7,7.95,15.37,89.8,415.81,463.25,17653.963884592056,04:54:13,False,False
2025-12-27T19:01:20.488934,10.5,51.7,7.95,15.37,89.8,415.81,463.25,17656.265958070755,04:54:16,False,False
2025-12-27T19:01:22.794476,16.0,51.9,7.97,15.37,89.8,415.81,463.25,17658.571499586105,04:54:18,False,False
2025-12-27T19:01:25.096162,15.3,51.9,7.97,15.37,89.8,415.81,463.25,17660.873185634613,04:54:20,False,False
2025-12-27T19:01:27.398281,10.4,51.5,7.92,15.37,89.8,415.81,463.25,17663.175305366516,04:54:23,False,False
2025-12-27T19:01:29.700161,23.7,51.5,7.92,15.37,89.8,415.81,463.25,17665.47718477249,04:54:25,False,False
2025-12-27T19:01:32.005383,14.4,51.4,7.9,15.37,89.8,415.81,463.25,17667.782407283783,04:54:27,False,False
2025-12-27T19:06:51.842708,15.7,60.7,9.33,15.37,89.8,415.82,463.25,17987.619732141495,04:59:47,False,False
2025-12-27T19:06:54.144524,8.3,60.8,9.35,15.37,89.8,415.82,463.25,17989.92154788971,04:59:49,False,False
2025-12-27T19:06:56.494013,25.2,61.1,9.39,15.37,89.8,415.82,463.25,17992.271037340164,04:59:52,False,False
2025-12-27T19:06:58.796925,11.6,61.1,9.39,15.37,89.8,415.82,463.25,17994.573949098587,04:59:54,False,False
2025-12-27T19:07:01.098975,13.6,60.9,9.37,15.37,89.8,415.82,463.25,17996.875999212265,04:59:56,False,False
2025-12-27T19:07:03.400619,10.5,61.3,9.42,15.37,89.8,415.82,463.25,17999.177642583847,04:59:59,False,False
2025-12-27T19:07:05.702440,25.5,61.1,9.39,15.37,89.8,415.82,463.25,18001.479464054108,05:00:01,False,False
2025-12-27T19:07:08.004907,19.4,61.7,9.48,15.37,89.8,415.82,463.25,18003.781930923462,05:00:03,False,False
2025-12-27T19:07:10.306980,22.2,61.6,9.48,15.37,89.8,415.82,463.25,18006.084004163742,05:00:06,False,False
2025-12-27T19:07:12.608753,15.9,61.7,9.49,15.37,89.8,415.82,463.25,18008.385776996613,05:00:08,False,False
2025-12-27T19:07:14.911744,14.8,61.7,9.49,15.37,89.8,415.82,463.25,18010.688767910004,05:00:10,False,False
2025-12-27T19:07:17.213459,13.1,61.6,9.47,15.37,89.8,415.82,463.25,18012.990483045578,05:00:12,False,False
2025-12-27T19:07:19.514616,10.5,61.6,9.47,15.37,89.8,415.82,463.25,18015.29164004326,05:00:15,False,False
2025-12-27T19:07:21.816374,13.1,62.0,9.53,15.37,89.8,415.82,463.25,18017.593398332596,05:00:17,False,False
2025-12-27T19:07:24.117863,26.2,62.0,9.53,15.37,89.8,415.82,463.25,18019.894887447357,05:00:19,False,False
2025-12-27T19:07:26.419733,21.4,62.0,9.53,15.37,89.8,415.82,463.25,18022.19675707817,05:00:22,False,False
2025-12-27T19:07:28.721334,18.0,61.9,9.51,15.37,89.8,415.82,463.25,18024.498358011246,05:00:24,False,False
2025-12-27T19:07:31.025045,9.3,61.9,9.51,15.37,89.8,415.82,463.25,18026.802068710327,05:00:26,False,False
2025-12-27T19:07:33.335307,8.4,61.9,9.51,15.37,89.8,415.82,463.25,18029.112331151962,05:00:29,False,False
2025-12-27T19:07:35.637237,11.8,61.9,9.51,15.37,89.8,415.82,463.25,18031.414261579514,05:00:31,False,False
2025-12-27T19:07:37.941263,8.3,61.8,9.5,15.37,89.8,415.82,463.25,18033.718287467957,05:00:33,False,False
2025-12-27T19:07:40.246216,8.0,61.8,9.5,15.37,89.8,415.82,463.25,18036.023240566254,05:00:36,False,False
2025-12-27T19:07:42.553528,19.7,61.9,9.52,15.37,89.8,415.82,463.25,18038.330552101135,05:00:38,False,False
2025-12-27T19:07:44.855173,10.4,61.8,9.49,15.37,89.8,415.82,463.25,18040.63219690323,05:00:40,False,False
2025-12-27T19:07:47.163523,27.6,62.0,9.53,15.37,89.8,415.82,463.25,18042.94054722786,05:00:42,False,False
2025-12-27T19:07:49.464801,17.3,62.1,9.55,15.37,89.8,415.82,463.25,18045.24182486534,05:00:45,False,False
2025-12-27T19:07:51.766080,8.7,62.1,9.55,15.37,89.8,415.82,463.25,18047.543103694916,05:00:47,False,False
2025-12-27T19:07:54.071341,8.6,61.7,9.48,15.37,89.8,415.82,463.25,18049.848365068436,05:00:49,False,False
2025-12-27T19:07:56.458084,17.3,61.7,9.48,15.37,89.8,415.82,463.25,18052.23510813713,05:00:52,False,False
2025-12-27T19:07:58.759737,8.6,61.7,9.49,15.37,89.8,415.82,463.25,18054.536760807037,05:00:54,False,False
2025-12-27T19:08:01.061729,12.7,61.7,9.49,15.37,89.8,415.82,463.25,18056.838752985,05:00:56,False,False
2025-12-27T19:08:03.363876,15.8,62.2,9.56,15.37,89.8,415.82,463.25,18059.14090037346,05:00:59,False,False
2025-12-27T19:08:05.665287,21.7,62.5,9.6,15.37,89.8,415.82,463.25,18061.442311048508,05:01:01,False,False
2025-12-27T19:08:07.966636,24.5,62.6,9.62,15.37,89.8,415.82,463.25,18063.743659734726,05:01:03,False,False
2025-12-27T19:08:10.267822,12.1,62.9,9.66,15.37,89.8,415.82,463.25,18066.044845819473,05:01:06,False,False
2025-12-27T19:08:12.569699,12.7,62.6,9.62,15.37,89.8,415.82,463.25,18068.34672307968,05:01:08,False,False
2025-12-27T19:08:14.871475,11.7,63.0,9.69,15.37,89.8,415.82,463.25,18070.648498773575,05:01:10,False,False
2025-12-27T19:08:17.173434,12.0,62.9,9.66,15.37,89.8,415.82,463.25,18072.95045852661,05:01:12,False,False
2025-12-27T19:08:19.484253,14.6,62.8,9.65,15.37,89.8,415.82,463.25,18075.261276960373,05:01:15,False,False
2025-12-27T19:08:21.786215,13.1,62.7,9.63,15.37,89.8,415.82,463.25,18077.563238859177,05:01:17,False,False
2025-12-27T19:08:24.087530,8.3,62.5,9.61,15.37,89.8,415.82,463.25,18079.864553689957,05:01:19,False,False
2025-12-27T19:08:26.389248,8.9,62.6,9.62,15.37,89.8,415.82,463.25,18082.16627216339,05:01:22,False,False
2025-12-27T19:08:28.695872,7.9,61.8,9.5,15.37,89.8,415.82,463.25,18084.472895860672,05:01:24,False,False
2025-12-27T19:08:31.001180,9.9,61.8,9.51,15.37,89.8,415.82,463.25,18086.778203964233,05:01:26,False,False
2025-12-27T19:08:33.306036,8.3,61.7,9.48,15.37,89.8,415.82,463.25,18089.08306002617,05:01:29,False,False
2025-12-27T19:08:35.608169,12.0,61.7,9.49,15.37,89.8,415.82,463.25,18091.38519334793,05:01:31,False,False
2025-12-27T19:08:37.932027,11.3,61.5,9.45,15.37,89.8,415.82,463.25,18093.709050655365,05:01:33,False,False
2025-12-27T19:08:40.236331,12.7,61.2,9.4,15.37,89.8,415.82,463.25,18096.01335477829,05:01:36,False,False
2025-12-27T19:08:42.537957,9.6,61.1,9.39,15.37,89.8,415.82,463.25,18098.314980983734,05:01:38,False,False
2025-12-27T19:08:44.839826,12.7,60.3,9.27,15.37,89.8,415.82,463.25,18100.616849660873,05:01:40,False,False
2025-12-27T19:08:47.141625,9.3,60.3,9.27,15.37,89.8,415.82,463.25,18102.918649196625,05:01:42,False,False
2025-12-27T19:08:56.707713,11.1,60.4,9.29,15.37,89.8,415.82,463.25,18112.484736680984,05:01:52,False,False
2025-12-27T19:08:59.009792,11.1,60.3,9.27,15.37,89.8,415.82,463.25,18114.78681564331,05:01:54,False,False
2025-12-27T19:09:01.312042,9.3,60.3,9.27,15.37,89.8,415.82,463.25,18117.089066267014,05:01:57,False,False
2025-12-27T19:09:03.613982,40.4,60.6,9.31,15.37,89.8,415.82,463.25,18119.39100575447,05:01:59,False,False
2025-12-27T19:09:05.916166,30.7,61.6,9.46,15.37,89.8,415.82,463.25,18121.693190574646,05:02:01,False,False
2025-12-27T19:09:08.220327,23.5,61.0,9.37,15.37,89.8,415.82,463.25,18123.997350931168,05:02:03,False,False
2025-12-27T19:09:10.522274,10.5,61.1,9.4,15.37,89.8,415.82,463.25,18126.2992978096,05:02:06,False,False
2025-12-27T19:09:12.824514,11.1,61.7,9.48,15.37,89.8,415.82,463.25,18128.601537942886,05:02:08,False,False
2025-12-27T19:09:15.126958,11.6,61.7,9.48,15.37,89.8,415.82,463.25,18130.903981924057,05:02:10,False,False
2025-12-27T19:09:17.428712,8.8,61.6,9.46,15.37,89.8,415.82,463.25,18133.20573568344,05:02:13,False,False
2025-12-27T19:09:19.736412,10.0,61.5,9.45,15.37,89.8,415.82,463.25,18135.513436079025,05:02:15,False,False
2025-12-27T19:09:22.039148,10.3,61.4,9.44,15.37,89.8,415.82,463.25,18137.816171884537,05:02:17,False,False
2025-12-27T19:09:24.346294,10.3,61.2,9.4,15.37,89.8,415.82,463.25,18140.12331843376,05:02:20,False,False
2025-12-27T19:09:26.648743,9.1,61.2,9.4,15.37,89.8,415.82,463.25,18142.425767183304,05:02:22,False,False
2025-12-27T19:09:28.950965,9.6,61.2,9.41,15.37,89.8,415.82,463.25,18144.72798895836,05:02:24,False,False
2025-12-27T19:09:31.253811,7.9,61.2,9.41,15.37,89.8,415.82,463.25,18147.03083562851,05:02:27,False,False
2025-12-27T19:09:33.556225,15.9,60.7,9.33,15.37,89.8,415.82,463.25,18149.33324933052,05:02:29,False,False
2025-12-27T19:09:35.860563,9.6,60.4,9.29,15.37,89.8,415.82,463.25,18151.637587070465,05:02:31,False,False
2025-12-27T19:09:38.165903,10.0,60.3,9.28,15.37,89.8,415.82,463.25,18153.942927360535,05:02:33,False,False
2025-12-27T19:09:40.467276,10.0,60.5,9.29,15.37,89.8,415.82,463.25,18156.244300365448,05:02:36,False,False
2025-12-27T19:09:42.771175,8.2,60.4,9.29,15.37,89.8,415.82,463.25,18158.54819917679,05:02:38,False,False
2025-12-27T19:09:45.073111,8.8,60.3,9.27,15.37,89.8,415.82,463.25,18160.85013484955,05:02:40,False,False
2025-12-27T19:09:47.374836,14.2,60.2,9.26,15.37,89.8,415.82,463.25,18163.15186023712,05:02:43,False,False
2025-12-27T19:09:49.676686,8.9,59.5,9.15,15.37,89.8,415.82,463.25,18165.453710079193,05:02:45,False,False
2025-12-27T19:09:51.979531,10.0,59.5,9.14,15.37,89.8,415.82,463.25,18167.756554603577,05:02:47,False,False
2025-12-27T19:09:54.283778,8.7,59.5,9.15,15.37,89.8,415.82,463.25,18170.06080174446,05:02:50,False,False
2025-12-27T19:09:56.586943,8.7,59.5,9.15,15.37,89.8,415.82,463.25,18172.363966703415,05:02:52,False,False
2025-12-27T19:09:58.893815,10.4,59.5,9.15,15.37,89.8,415.82,463.25,18174.670838594437,05:02:54,False,False
2025-12-27T19:10:01.195433,10.4,59.5,9.14,15.37,89.8,415.82,463.25,18176.972457170486,05:02:56,False,False
2025-12-27T19:10:03.496874,7.9,59.5,9.14,15.37,89.8,415.82,463.25,18179.273897647858,05:02:59,False,False
2025-12-27T19:10:05.798823,17.9,60.7,9.33,15.37,89.8,415.82,463.25,18181.575847148895,05:03:01,False,False
2025-12-27T19:10:08.100639,8.4,60.9,9.37,15.37,89.8,415.82,463.25,18183.87766313553,05:03:03,False,False
2025-12-27T19:10:10.405212,8.5,60.9,9.37,15.37,89.8,415.82,463.25,18186.18223619461,05:03:06,False,False
2025-12-27T19:10:12.709050,9.1,60.9,9.37,15.37,89.8,415.82,463.25,18188.486074209213,05:03:08,False,False
2025-12-27T19:10:15.014165,8.7,60.9,9.36,15.37,89.8,415.82,463.25,18190.790188789368,05:03:10,False,False
2025-12-27T19:10:17.315844,11.3,60.9,9.35,15.37,89.8,415.82,463.25,18193.092868089676,05:03:13,False,False
2025-12-27T19:10:19.620266,9.3,60.9,9.36,15.37,89.8,415.82,463.25,18195.397290229797,05:03:15,False,False
2025-12-27T19:10:21.921943,7.8,60.9,9.35,15.37,89.8,415.82,463.25,18197.698967456818,05:03:17,False,False
2025-12-27T19:10:24.223592,7.4,60.8,9.35,15.37,89.8,415.82,463.25,18200.000616550446,05:03:20,False,False
2025-12-27T19:10:26.527711,8.8,60.8,9.35,15.37,89.8,415.82,463.25,18202.30473446846,05:03:22,False,False
2025-12-27T19:10:28.829957,11.3,60.8,9.34,15.37,89.8,415.82,463.25,18204.606981277466,05:03:24,False,False
2025-12-27T19:10:31.132269,8.0,60.8,9.35,15.37,89.8,415.82,463.25,18206.909293174744,05:03:26,False,False
2025-12-27T19:10:33.443408,9.2,60.8,9.35,15.37,89.8,415.82,463.25,18209.220432519913,05:03:29,False,False
2025-12-27T19:10:35.752311,12.0,60.1,9.24,15.37,89.8,415.82,463.25,18211.529334545135,05:03:31,False,False
2025-12-27T19:10:38.053726,25.8,60.2,9.25,15.37,89.8,415.82,463.25,18213.830749988556,05:03:33,False,False
2025-12-27T19:10:40.355392,9.3,60.2,9.25,15.37,89.8,415.82,463.25,18216.132415533066,05:03:36,False,False
2025-12-27T19:10:42.660793,18.3,61.2,9.4,15.37,89.8,415.94,463.25,18218.437816619873,05:03:38,False,False
2025-12-27T19:10:44.962826,25.1,62.3,9.58,15.37,89.8,415.94,463.25,18220.739849805832,05:03:40,False,False
2025-12-27T19:10:47.264810,11.4,62.6,9.63,15.37,89.8,415.94,463.25,18223.041833877563,05:03:43,False,False
